,0
0,34.38934
1,34.38934
2,34.38934
3,34.38934
4,34.38934
5,34.38934
6,34.38934
7,34.38934
8,34.38934
9,34.38934
10,34.38934
11,34.38934
12,34.38934
13,34.38934
14,34.38934
15,34.38934
16,34.38934
17,34.38934
18,34.38934
19,34.38934
20,34.38934
21,34.38934
22,34.38934
23,34.38934
24,34.38934
25,34.38934
26,34.38934
27,34.38934
28,34.38934
29,34.38934
30,34.38934
31,34.38934
32,34.38934
33,34.38934
34,34.38934
35,34.38934
36,34.38934
37,34.38934
38,34.38934
39,34.38934
40,34.38934
41,34.38934
42,34.38934
43,34.38934
44,34.38934
45,34.38934
46,34.38934
47,34.38934
48,34.38934
49,34.38934
50,34.38934
51,34.38934
52,34.38934
53,34.38934
54,34.38934
55,34.38934
56,34.38934
57,34.38934
58,34.38934
59,34.38934
60,34.38934
61,34.38934
62,34.38934
63,34.38934
64,34.38934
65,34.38934
66,34.38934
67,34.38934
68,34.38934
69,34.38934
70,34.38934
71,34.38934
72,34.38934
73,34.38934
74,34.38934
75,34.38934
76,34.38934
77,34.38934
78,34.38934
79,34.38934
80,34.38934
81,34.38934
82,34.38934
83,34.38934
84,34.38934
85,34.38934
86,34.38934
87,34.38934
88,34.38934
89,34.38934
90,34.38934
91,34.38934
92,34.38934
93,34.38934
94,34.38934
95,34.38934
96,34.38934
97,34.38934
98,34.38934
99,34.38934
100,34.38934
101,34.38934
102,34.38934
103,34.38934
104,34.38934
105,34.38934
106,34.38934
107,34.38934
108,34.38934
109,34.38934
110,34.38934
111,34.38934
112,34.38934
113,34.38934
114,34.38934
115,34.38934
116,34.38934
117,34.38934
